customer_id,tenure,monthly_charges,total_charges,gender,senior_citizen,partner,dependents,phone_service,multiple_lines,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,contract,paperless_billing,payment_method,churn
26,47,53.056100230629085,2438.904341629428,Male,1,Yes,Yes,Yes,No phone service,No,Yes,No internet service,No internet service,No,No,No,Month-to-month,No,Mailed check,0
27,62,94.473672782921,5712.355259455561,Female,0,No,No,No,No phone service,Fiber optic,Yes,No internet service,No internet service,No internet service,Yes,Yes,Month-to-month,No,Electronic check,0
28,51,61.240306046786614,1437.7216735148384,Female,0,No,Yes,Yes,Yes,DSL,No,No internet service,No,No,Yes,No,Month-to-month,Yes,Bank transfer,1
29,55,39.57556064056246,6672.721419571744,Male,0,Yes,Yes,No,No,DSL,No internet service,Yes,Yes,Yes,No internet service,No,One year,Yes,Credit card,0
30,64,71.3175082282036,4617.60179823452,Female,0,Yes,No,Yes,Yes,DSL,Yes,Yes,No,No,No,No,Two year,No,Bank transfer,0
31,3,33.05045596374398,4712.729604639183,Male,0,No,No,No,No,Fiber optic,No,No internet service,Yes,No internet service,No,Yes,Month-to-month,Yes,Credit card,1
32,51,64.05391598729948,1757.2257688549541,Female,1,Yes,Yes,Yes,Yes,Fiber optic,No,No,No,No,No,No,One year,Yes,Mailed check,1
33,7,51.73054774204866,685.4591194730672,Female,0,No,Yes,Yes,No phone service,Fiber optic,No,No internet service,Yes,No internet service,Yes,No internet service,Two year,No,Credit card,1
34,21,111.19595841996332,3771.3259443373045,Female,0,Yes,Yes,No,Yes,No,No,No internet service,No,No internet service,No,No internet service,Month-to-month,Yes,Electronic check,1
35,39,26.092872172071996,4963.334420186636,Male,0,No,Yes,Yes,No phone service,Fiber optic,No,Yes,No,Yes,No internet service,No internet service,Two year,Yes,Credit card,1
36,18,89.4017414105742,850.8670234273162,Female,0,No,No,No,No,No,Yes,No internet service,Yes,Yes,No internet service,No internet service,Two year,Yes,Electronic check,0
37,4,38.275116598743594,7609.222348772517,Male,0,Yes,No,No,No phone service,No,Yes,Yes,Yes,No internet service,Yes,No,One year,Yes,Bank transfer,0
38,60,51.90450743322398,7845.273445839174,Male,0,Yes,No,No,Yes,No,No internet service,No,No internet service,No internet service,Yes,No internet service,One year,Yes,Bank transfer,0
39,14,61.551406306206594,4409.107893600687,Male,0,Yes,Yes,Yes,Yes,DSL,No,No,No internet service,Yes,Yes,Yes,One year,No,Credit card,1
40,9,110.80150893749742,7605.546326659909,Male,0,No,Yes,No,No,No,No internet service,No,No,No internet service,Yes,No internet service,Two year,No,Bank transfer,0
41,53,44.25782660738251,1517.6173768887393,Male,0,Yes,Yes,Yes,No phone service,No,No,No internet service,No,No,No internet service,No internet service,Two year,Yes,Bank transfer,0
42,2,29.130880254467023,300.8234129182466,Male,0,Yes,Yes,Yes,No,DSL,No,Yes,No internet service,No internet service,Yes,Yes,One year,No,Bank transfer,1
43,60,51.868960399052355,411.33532879408045,Male,0,Yes,No,No,No phone service,No,No,No internet service,No internet service,No internet service,Yes,Yes,Two year,Yes,Electronic check,1
44,71,30.467597053553334,4741.348587471555,Male,0,Yes,No,Yes,No phone service,Fiber optic,No internet service,No,Yes,Yes,Yes,No internet service,Two year,Yes,Credit card,1
45,44,32.85964859605525,586.9708791509058,Male,0,Yes,No,No,No,Fiber optic,No,No internet service,No internet service,Yes,Yes,No,Two year,No,Electronic check,1
46,8,77.38505979750266,7672.510293910288,Female,0,No,Yes,No,No,DSL,No internet service,Yes,No,Yes,No internet service,Yes,One year,Yes,Credit card,1
47,47,26.09019330994933,1221.2723649992488,Male,0,Yes,No,No,No phone service,DSL,Yes,Yes,No internet service,No,No,No,Month-to-month,Yes,Electronic check,1
48,35,23.093088139356603,2507.310167818531,Female,1,Yes,No,No,No,No,No,No,No internet service,No internet service,Yes,No,Month-to-month,Yes,Mailed check,1
49,36,91.44141014704978,6597.890635786953,Male,0,Yes,No,No,No phone service,No,No internet service,No,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,0
50,50,56.16470948410445,1828.0485525223353,Female,0,Yes,No,No,No,No,Yes,No,No internet service,Yes,No,No,Two year,No,Mailed check,1
51,4,32.53753492338733,2019.4508217911077,Female,0,No,Yes,Yes,No,DSL,No,No internet service,No,No internet service,No internet service,No,One year,No,Electronic check,0
52,2,45.361277085970826,5174.240750749044,Female,0,No,Yes,Yes,No,No,Yes,Yes,No internet service,No internet service,No,No,Month-to-month,No,Credit card,0
53,6,84.2086507352399,2281.0800990651724,Female,0,Yes,No,Yes,Yes,Fiber optic,No,No internet service,No internet service,No,No internet service,No internet service,One year,Yes,Electronic check,0
54,54,47.55365671408512,1817.8363086608322,Female,1,Yes,No,Yes,No,Fiber optic,No internet service,No,No,No internet service,Yes,Yes,Month-to-month,No,Credit card,1
55,4,69.4521125120408,2108.0039430146944,Female,0,Yes,No,Yes,Yes,No,No,Yes,No internet service,No,No,No internet service,Month-to-month,No,Mailed check,0
56,54,32.16953067266723,3976.115244791742,Male,0,No,No,No,No phone service,DSL,No,No,No,No internet service,No internet service,Yes,One year,Yes,Electronic check,0
57,63,78.8093637605447,7732.188994578709,Male,0,No,No,Yes,No phone service,Fiber optic,No internet service,Yes,No internet service,Yes,Yes,No,One year,No,Credit card,1
58,18,51.607768384326405,6674.679738333703,Male,0,Yes,Yes,No,No,DSL,No internet service,Yes,No internet service,Yes,Yes,Yes,Month-to-month,Yes,Credit card,1
59,44,82.69684345287166,2348.4210900253993,Male,0,No,No,Yes,Yes,Fiber optic,No internet service,No,No internet service,No internet service,No,Yes,Two year,Yes,Bank transfer,0
60,34,100.8394882304023,2970.648347134972,Male,0,No,No,Yes,No phone service,No,No,Yes,Yes,Yes,No internet service,Yes,Two year,Yes,Credit card,1
61,62,81.16464193899924,3769.6467789822113,Male,0,No,No,No,Yes,No,Yes,Yes,No internet service,No,Yes,Yes,Month-to-month,No,Mailed check,1
62,14,49.57475625950207,7833.544211434224,Female,0,No,Yes,Yes,Yes,DSL,No internet service,No,No,Yes,No internet service,No,Two year,Yes,Electronic check,0
63,48,45.574370154830035,1461.884699852154,Male,0,No,Yes,Yes,No phone service,No,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,No,Bank transfer,0
64,15,52.7420958733448,2924.1165175858746,Female,0,No,Yes,Yes,Yes,DSL,No internet service,No,No internet service,No internet service,Yes,Yes,Month-to-month,No,Mailed check,0
65,62,36.462051323650485,5862.466142463448,Female,0,Yes,Yes,No,Yes,DSL,No internet service,No internet service,No,No internet service,Yes,No,Month-to-month,No,Electronic check,1
66,40,38.117185085002006,7715.1555007246525,Female,0,No,Yes,Yes,No phone service,Fiber optic,No,No internet service,No internet service,Yes,No,Yes,One year,Yes,Electronic check,0
67,53,99.06911019001679,1329.8341808374778,Female,0,Yes,No,No,No,Fiber optic,No internet service,No,No,No internet service,No internet service,No internet service,One year,Yes,Bank transfer,1
68,24,58.4732576507445,1896.3016381353316,Female,0,No,No,Yes,No,No,Yes,Yes,No internet service,No internet service,No,Yes,One year,No,Mailed check,0
69,26,63.59951805705858,1882.9879276843988,Female,0,Yes,Yes,No,Yes,DSL,No,No internet service,No,No,No,No internet service,Month-to-month,No,Electronic check,0
70,60,79.40494655668113,265.36303298738073,Male,0,No,Yes,Yes,No,Fiber optic,No internet service,No,No,No,No,No internet service,One year,Yes,Bank transfer,1
71,41,78.96534951515477,4872.513437349501,Female,0,Yes,Yes,No,No phone service,No,Yes,No,Yes,No internet service,No,No internet service,Two year,Yes,Electronic check,0
72,29,26.73768715219257,5398.554285752561,Female,0,Yes,No,No,No phone service,No,No,Yes,Yes,Yes,No,No,Two year,Yes,Electronic check,0
73,15,103.15407863376656,4859.954531989501,Male,0,No,Yes,Yes,No phone service,Fiber optic,Yes,Yes,No,Yes,Yes,No internet service,One year,Yes,Mailed check,0
74,45,37.73265532239394,663.4516163612333,Male,1,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No internet service,One year,Yes,Mailed check,1
75,65,92.30716360496689,646.9179933904904,Male,0,Yes,Yes,Yes,No phone service,Fiber optic,No,No,Yes,No internet service,Yes,No,Month-to-month,No,Electronic check,1
76,71,97.26709881281666,1762.0537805035797,Male,0,No,No,No,Yes,DSL,No,No internet service,No,Yes,No,No,One year,No,Credit card,0
77,9,91.48995340913137,2393.3266740214253,Male,0,Yes,Yes,Yes,Yes,No,No internet service,No,No internet service,Yes,Yes,No internet service,One year,No,Electronic check,1
78,1,77.89776465541452,6313.694881689375,Male,0,No,No,No,No phone service,DSL,No,Yes,No internet service,No internet service,Yes,No,One year,Yes,Credit card,0
79,8,21.460899710888285,1359.1830994164768,Male,0,Yes,No,Yes,No phone service,Fiber optic,No internet service,Yes,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,1
80,63,56.03754923631707,448.3285095405039,Female,0,Yes,No,Yes,Yes,DSL,No internet service,No,No,No,No,No internet service,Two year,No,Electronic check,0
81,11,80.48394293625812,3212.5013109331353,Male,0,No,No,No,No phone service,Fiber optic,No internet service,Yes,Yes,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,1
82,8,58.74512959225387,3389.4981441211703,Female,0,Yes,No,Yes,No,No,No internet service,Yes,Yes,No,No internet service,Yes,One year,Yes,Electronic check,1
83,35,106.34798949128131,3662.1679716927383,Male,0,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,One year,Yes,Bank transfer,0
84,35,50.880227534961534,6632.537997813051,Male,0,No,No,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No,Yes,Two year,No,Bank transfer,0
85,33,49.35347924586604,874.2427774804396,Female,0,No,No,No,No phone service,DSL,Yes,Yes,Yes,No internet service,No internet service,Yes,One year,No,Mailed check,1
86,5,46.599769309265795,5661.142451133501,Male,0,No,No,No,No phone service,DSL,Yes,No internet service,No internet service,No,Yes,No,Month-to-month,No,Electronic check,1
87,41,53.27808689607955,2769.7700112577973,Male,1,Yes,Yes,No,Yes,DSL,No,No internet service,No internet service,No internet service,No,No,Month-to-month,Yes,Electronic check,0
88,28,75.74049643141872,2548.8430778402126,Male,0,Yes,No,No,Yes,Fiber optic,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card,0
89,7,90.70152942725908,7467.090696079241,Male,0,No,No,Yes,Yes,No,Yes,No internet service,No internet service,Yes,No internet service,No internet service,Month-to-month,No,Bank transfer,1
90,12,86.2567917738785,2062.901342892262,Male,0,Yes,No,Yes,No phone service,DSL,Yes,Yes,Yes,No internet service,No,No internet service,One year,Yes,Mailed check,0
91,34,100.77178199814796,5176.001499180994,Male,0,Yes,Yes,Yes,Yes,Fiber optic,No internet service,Yes,No,No internet service,No internet service,No,Month-to-month,No,Mailed check,1
92,33,108.59139954974249,2273.5092832711275,Male,0,Yes,No,No,No,DSL,No internet service,No,No,No internet service,Yes,No internet service,One year,No,Electronic check,0
93,48,101.60790423433512,4106.436672859043,Female,1,Yes,No,Yes,No,Fiber optic,No,Yes,Yes,No internet service,Yes,Yes,Month-to-month,Yes,Electronic check,1
94,23,21.89454033743546,6311.713851510595,Male,0,Yes,No,No,No phone service,No,Yes,No,No internet service,No,No,No internet service,Two year,No,Bank transfer,0
95,62,93.59179535519887,7065.607935778458,Female,0,No,No,Yes,Yes,DSL,No,No internet service,No,No internet service,No,No,Two year,No,Credit card,0
96,37,40.83995736183316,6725.708198330897,Female,0,No,No,No,Yes,No,Yes,No,No,Yes,Yes,No,Month-to-month,No,Bank transfer,1
97,44,33.292804270798264,4699.227815542655,Female,0,Yes,No,No,No,DSL,No internet service,No,No,No,No,No internet service,Two year,No,Mailed check,0
98,35,83.84887847991355,2065.648891171955,Female,0,Yes,No,Yes,Yes,Fiber optic,Yes,Yes,No internet service,No internet service,No internet service,No,Two year,Yes,Bank transfer,1
99,65,51.97431954076949,5323.7437277687395,Female,1,Yes,Yes,No,No phone service,No,Yes,No,No,No,No internet service,No,Two year,Yes,Bank transfer,0
100,47,25.711716337044326,5708.249861658903,Female,0,No,Yes,No,No phone service,DSL,Yes,No internet service,Yes,No internet service,No internet service,No internet service,Two year,No,Mailed check,1
101,3,33.76297343983613,184.46672189666117,Female,0,No,Yes,Yes,No phone service,DSL,No internet service,Yes,No,No internet service,No internet service,No internet service,One year,No,Mailed check,0
102,1,20.092941686996106,3569.763036361809,Male,1,No,No,No,Yes,No,No internet service,Yes,No,No,No,Yes,Month-to-month,Yes,Mailed check,0
103,5,110.32236273447073,6761.770138291938,Male,0,No,Yes,No,Yes,Fiber optic,Yes,Yes,Yes,No,No internet service,No,Two year,Yes,Electronic check,1
104,14,22.46179838412386,3967.7420103200743,Male,0,No,No,Yes,No,No,Yes,No internet service,No internet service,No,No,No internet service,One year,No,Credit card,0
105,27,40.94557695095111,2559.8659930902368,Female,0,Yes,Yes,No,No,DSL,No internet service,No,No,No,Yes,Yes,Two year,No,Electronic check,0
106,9,61.62627806879073,6987.202391094836,Male,0,Yes,Yes,No,No phone service,No,No internet service,Yes,No internet service,Yes,No internet service,No,One year,No,Bank transfer,1
107,15,55.65713259508191,1331.457510485465,Female,0,Yes,No,No,Yes,No,No internet service,No,No internet service,No,No,No,Month-to-month,Yes,Credit card,1
108,42,111.17258769127757,1730.9173360879831,Female,0,Yes,No,Yes,Yes,Fiber optic,Yes,No internet service,No internet service,Yes,Yes,Yes,One year,Yes,Bank transfer,1
109,51,24.02889457345421,5530.241698795454,Male,0,No,No,Yes,No phone service,Fiber optic,No,No internet service,No,No internet service,No internet service,No,Month-to-month,Yes,Bank transfer,1
110,63,71.22147076770516,2884.243938059942,Female,0,Yes,No,Yes,No phone service,No,No,No internet service,No,No internet service,No internet service,No internet service,One year,Yes,Electronic check,0
111,52,88.0479462524374,5732.833002296854,Female,0,Yes,No,Yes,No,Fiber optic,No internet service,Yes,Yes,No,No internet service,Yes,One year,Yes,Credit card,1
112,4,113.16979736811687,1345.858607949986,Male,0,Yes,Yes,No,No,Fiber optic,No,Yes,No internet service,No internet service,No,Yes,Two year,Yes,Electronic check,0
113,23,82.0371252123721,2092.925807846683,Female,0,Yes,No,Yes,No phone service,DSL,Yes,No,Yes,Yes,No,No internet service,Two year,Yes,Mailed check,0
114,15,100.37552360117627,1337.5142890727047,Male,0,No,Yes,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,One year,Yes,Mailed check,0
115,43,28.37249378453484,7627.991477151726,Female,0,No,Yes,Yes,No,No,No,Yes,No,No,No internet service,No internet service,One year,Yes,Electronic check,0
116,29,58.59395109369274,3302.6912907223004,Female,0,Yes,No,Yes,No phone service,No,No,No internet service,Yes,No,Yes,No internet service,One year,Yes,Electronic check,1
117,36,57.394713447906746,2764.0372882907855,Male,1,Yes,Yes,No,Yes,DSL,No internet service,No internet service,Yes,No,No,No,Month-to-month,No,Electronic check,0
118,13,108.62882164557176,212.19703374904114,Male,0,Yes,Yes,No,No phone service,DSL,Yes,Yes,No internet service,Yes,No internet service,No,One year,Yes,Bank transfer,1
119,32,35.137117126327496,1311.9988773460104,Male,0,Yes,No,Yes,Yes,DSL,No internet service,No,No,No,Yes,No,Month-to-month,Yes,Credit card,1
120,71,35.188617233663024,3426.973264315746,Female,0,No,No,No,No,No,No,No internet service,No internet service,Yes,No internet service,No,Month-to-month,No,Credit card,0
121,59,52.855814988579844,641.1720613179631,Female,0,No,Yes,Yes,Yes,No,No internet service,Yes,No internet service,Yes,No,No,Month-to-month,No,Mailed check,1
122,28,25.44660473668376,4134.840703099114,Male,0,Yes,Yes,Yes,Yes,Fiber optic,Yes,No,No,No internet service,Yes,No internet service,Month-to-month,No,Credit card,0
123,66,38.245804065249004,3694.6219638691377,Male,0,Yes,Yes,No,No phone service,DSL,Yes,No,No,No internet service,No internet service,Yes,Month-to-month,Yes,Credit card,0
124,42,116.52096385457352,6160.628308720381,Male,0,No,No,No,Yes,Fiber optic,Yes,No internet service,No internet service,No,No internet service,Yes,Month-to-month,Yes,Credit card,0
125,45,62.81839398671728,5312.441341062501,Female,0,No,No,No,No,Fiber optic,Yes,No internet service,Yes,No,No internet service,No,Month-to-month,Yes,Bank transfer,1
126,62,83.20192084224365,3622.9837120325333,Female,1,Yes,No,No,No phone service,No,No,No internet service,No,No,Yes,No internet service,One year,No,Mailed check,0
127,57,92.6111259344637,1874.8195308300644,Male,0,Yes,Yes,No,No phone service,Fiber optic,No,No internet service,No internet service,No,No,No internet service,Month-to-month,No,Electronic check,1
128,6,56.69614070072005,5842.22217154067,Male,0,Yes,No,No,No phone service,DSL,No,No,Yes,Yes,No,No internet service,One year,Yes,Credit card,0
129,28,34.722707441051696,5692.110617288213,Male,0,No,No,Yes,No phone service,DSL,No,Yes,No internet service,No,Yes,Yes,One year,No,Credit card,0
130,28,40.65810162217808,1311.0396680715605,Female,0,No,Yes,No,No phone service,No,No,No,No,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer,1
131,44,51.326647658061034,7326.539468260681,Male,0,No,Yes,Yes,No phone service,No,No internet service,No internet service,Yes,No,Yes,No,One year,No,Mailed check,0
132,30,83.60684203522257,608.8004165188411,Male,0,No,Yes,Yes,No phone service,No,Yes,Yes,Yes,Yes,Yes,No internet service,One year,No,Credit card,0
133,62,59.82805490890544,534.797900252458,Male,0,No,No,Yes,No,DSL,No,No,Yes,No internet service,No,No,Month-to-month,Yes,Bank transfer,1
134,62,20.681469790012812,1580.0682995331733,Female,0,Yes,No,Yes,No,No,Yes,Yes,No,No internet service,Yes,Yes,One year,Yes,Electronic check,0
135,1,72.34071850674718,7284.7403045852925,Female,0,Yes,No,Yes,No phone service,DSL,Yes,No,No,No,No internet service,Yes,One year,Yes,Mailed check,1
136,27,112.1513391907418,4207.9851798916825,Male,0,Yes,No,No,Yes,Fiber optic,No,Yes,No internet service,No internet service,No,No internet service,Two year,No,Credit card,1
137,62,101.2077611008679,6324.733273315911,Female,0,Yes,No,No,No phone service,No,No,No,No internet service,No internet service,No,Yes,Two year,Yes,Electronic check,0
138,3,102.52113712596311,1899.961185804355,Male,0,No,No,Yes,No phone service,No,Yes,No,No,No,No internet service,Yes,Month-to-month,Yes,Credit card,0
139,70,99.50580176061311,3972.7535997645527,Male,0,Yes,No,Yes,No phone service,No,Yes,No internet service,No internet service,No,Yes,No internet service,Month-to-month,No,Mailed check,0
140,27,52.37308256104237,2930.48676262867,Male,0,No,Yes,No,Yes,DSL,Yes,No,Yes,Yes,No,Yes,Month-to-month,No,Bank transfer,1
141,9,96.5193833754392,6639.845995822922,Male,0,No,No,Yes,No,Fiber optic,No internet service,No internet service,No,No internet service,Yes,No,Month-to-month,Yes,Credit card,1
142,62,34.3161357811193,278.57507093789036,Female,0,Yes,No,No,Yes,No,No internet service,No,No,No,No internet service,No internet service,Month-to-month,No,Mailed check,0
143,37,85.77161472759535,2026.3575667322323,Male,0,Yes,Yes,No,Yes,Fiber optic,Yes,Yes,No internet service,No internet service,No,No,Two year,Yes,Bank transfer,1
144,51,84.15685666849944,1305.3363719887923,Male,0,Yes,Yes,No,Yes,No,No internet service,Yes,No,No,No internet service,Yes,Two year,Yes,Electronic check,1
145,44,22.556979908973467,6887.5934059003985,Female,0,Yes,Yes,Yes,Yes,DSL,Yes,No internet service,Yes,Yes,No,No internet service,One year,No,Credit card,1
146,24,98.79701335909316,3793.596412580749,Male,0,Yes,Yes,Yes,No phone service,Fiber optic,Yes,No,No,No,No internet service,No,Two year,No,Electronic check,0
147,59,110.32481050951306,3293.338346756408,Female,0,Yes,No,Yes,No,Fiber optic,No,No internet service,Yes,No,Yes,No internet service,Month-to-month,Yes,Credit card,1
148,32,46.74152784721076,3650.913820598531,Male,0,No,No,Yes,Yes,No,Yes,Yes,No,Yes,No internet service,No,Two year,No,Mailed check,1
149,52,101.2390724186151,7778.203950548448,Male,0,No,Yes,Yes,No,Fiber optic,No,No,No,No,No internet service,No,One year,Yes,Electronic check,1
150,62,28.24059718619482,6817.1124152538005,Male,0,No,Yes,Yes,No phone service,DSL,No,No internet service,No,Yes,No internet service,No internet service,Month-to-month,No,Credit card,1
151,58,79.9967858261066,5680.313297617429,Male,0,Yes,No,Yes,No phone service,Fiber optic,Yes,Yes,No internet service,No internet service,No internet service,No,Month-to-month,No,Mailed check,1
152,52,68.56468653342772,2394.7837778637113,Female,0,No,Yes,Yes,No,Fiber optic,No internet service,Yes,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card,1
153,12,74.59235333090001,1404.8666961957374,Male,0,Yes,Yes,No,No phone service,Fiber optic,Yes,No,Yes,No internet service,Yes,Yes,Two year,Yes,Bank transfer,0
154,39,112.62052018843451,7379.325669293182,Female,0,Yes,No,Yes,No,Fiber optic,Yes,No,No internet service,No,Yes,No,One year,Yes,Mailed check,1
155,2,107.13152472468535,3442.2966300922144,Female,0,No,Yes,No,Yes,No,No internet service,No,No,Yes,No,No,Month-to-month,No,Mailed check,1
156,3,98.5083657239757,2302.17081580217,Female,0,No,No,No,No phone service,No,No,No internet service,No internet service,No,No internet service,No,Month-to-month,No,Credit card,1
157,56,47.3698457678371,3820.27452869932,Male,0,Yes,Yes,No,No phone service,Fiber optic,No internet service,No internet service,No internet service,No,Yes,No,Two year,Yes,Mailed check,0
158,59,111.18186286860916,7350.994640280782,Female,1,Yes,No,Yes,No,Fiber optic,Yes,No,Yes,No,No internet service,Yes,One year,No,Electronic check,0
159,2,29.750769246387527,3157.8317757912164,Female,0,No,Yes,Yes,No phone service,DSL,Yes,No,No,Yes,No internet service,No internet service,Two year,Yes,Credit card,0
160,2,105.33292165587878,4544.8638782599855,Female,0,No,No,Yes,Yes,No,No internet service,No,Yes,No,No,No internet service,Month-to-month,Yes,Bank transfer,1
161,54,52.81600723536078,6443.433778757678,Male,0,No,No,No,No phone service,No,No internet service,Yes,No internet service,No,No internet service,No internet service,One year,Yes,Mailed check,0
162,1,25.377231166198335,3474.3469952822907,Male,0,No,Yes,Yes,No phone service,No,No internet service,No,No,Yes,Yes,Yes,One year,No,Bank transfer,1
163,19,86.93569842407483,1944.9802352183096,Female,0,No,Yes,Yes,No phone service,Fiber optic,No,No internet service,Yes,Yes,No,Yes,Two year,Yes,Electronic check,1
164,2,43.12799283159555,7956.753412225964,Female,0,No,Yes,No,No,No,No internet service,Yes,Yes,No internet service,No,No internet service,Month-to-month,No,Mailed check,0
165,53,44.35711258646319,7656.909773872061,Male,1,Yes,Yes,Yes,Yes,DSL,Yes,No,No,Yes,No,No internet service,One year,Yes,Mailed check,0
166,44,50.60471662287715,6763.485436091561,Female,0,No,Yes,No,Yes,DSL,No internet service,No internet service,Yes,No internet service,No internet service,Yes,Two year,Yes,Credit card,0
167,32,26.368476750251673,5538.153647148788,Female,0,Yes,No,No,No phone service,DSL,Yes,Yes,Yes,No internet service,No,Yes,Month-to-month,Yes,Bank transfer,1
168,70,37.7127144198254,2429.438461750606,Female,0,Yes,No,No,No phone service,DSL,No,Yes,Yes,No,Yes,No,Month-to-month,No,Credit card,1
169,32,20.51396275855603,7315.962211495853,Male,0,No,No,Yes,No,DSL,No,No internet service,No internet service,No,Yes,No internet service,Month-to-month,No,Bank transfer,1
170,68,64.54095211057867,2276.8976939577074,Female,1,No,No,No,Yes,No,No internet service,No internet service,Yes,No,No,No internet service,Two year,No,Credit card,0
171,55,28.42553774179713,6426.395007946977,Female,0,No,Yes,No,No phone service,Fiber optic,Yes,Yes,No internet service,No,No,No internet service,Month-to-month,No,Bank transfer,0
